Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
264,2008-10-31,22.771595001220703,23.47251140068151,21.646871256593524,22.527089743220163,8097887
265,2008-11-03,23.472505569458008,24.09191785149618,22.65748603438653,24.059316274177966,4951148
266,2008-11-04,24.49942970275879,24.6950347703786,23.032398328238997,23.14649944195366,4515828
267,2008-11-05,23.6029109954834,25.68935698474554,23.14649989898403,25.68935698474554,6145587
268,2008-11-06,22.820486068725586,24.36902096278878,22.34777653392768,23.14649294939665,4896229
269,2008-11-07,24.59723472595215,25.33075048744811,22.494487774295855,22.657491276850514,8250147
270,2008-11-10,25.15143585205078,25.721947876439696,24.59722461339095,25.36333943390214,3775177
271,2008-11-11,24.858041763305664,25.901263779073467,24.287529481618023,25.265550535939695,8900004
272,2008-11-12,23.8148136138916,25.395948275618203,23.521408230275387,25.395948275618203,5705390
273,2008-11-14,23.733306884765625,24.776530720316295,23.439901562814345,23.60290501075967,4038880
274,2008-11-17,24.711332321166992,25.52635192839012,22.494484560928065,25.52635192839012,5361538
275,2008-11-18,23.374713897705078,24.646140629229766,22.918302657787667,24.646140629229766,6392448
276,2008-11-19,22.80419158935547,24.206021870205173,22.51078401752587,23.472506256945262,5606729
277,2008-11-20,22.559690475463867,22.983497804602482,21.59796806166474,22.820494305433336,5080395
278,2008-11-21,23.994117736816406,24.743934192451444,21.842470900798677,22.41298308495287,8350092
279,2008-11-24,24.59723472595215,24.98844268990803,23.37470845679221,24.71133585121451,5420119
280,2008-11-25,23.994117736816406,25.151442895418725,23.798514885917836,24.858037513632766,5453771
281,2008-11-26,24.532026290893555,24.906933348164564,23.554005573620486,24.254919536649187,5246053
282,2008-11-27,24.532026290893555,24.532026290893555,24.532026290893555,24.532026290893555,0
283,2008-11-28,24.14081382751465,24.61352556241639,23.179093993625145,23.798508379310775,8464961
284,2008-12-01,23.945219039916992,25.55895316009493,23.84741650305365,24.613533795794094,5733003
285,2008-12-02,23.733306884765625,23.99411284365329,22.983490582041988,23.765908458704992,5879324
286,2008-12-03,24.45052719116211,24.760233342728327,23.228001163235415,23.96151677999143,6430656
287,2008-12-04,25.62415313720703,25.754557251677337,21.679467917533902,21.679467917533902,4648185
288,2008-12-05,25.314453125,26.536979559806195,24.466833912516982,24.466833912516982,5338962
289,2008-12-08,25.37965965270996,26.210978252674003,24.28753712488662,25.999074508569002,11709287
290,2008-12-10,24.972139358520508,26.569574847668278,24.613533015886233,26.569574847668278,11172070
291,2008-12-11,24.69503402709961,25.41224890199151,24.303823903634743,25.41224890199151,9867592
292,2008-12-12,23.928913116455078,24.206019876322472,23.40730117230794,24.091916572641576,9847702
293,2008-12-15,24.320117950439453,24.85803061561304,24.124515153820003,24.743927326094994,5741641
294,2008-12-16,25.249250411987305,25.55895664522135,23.146503320769707,24.450533638633196,9183505
295,2008-12-17,25.21664047241211,25.91755667427788,24.54832584677299,25.91755667427788,8720755
296,2008-12-18,25.966459274291992,26.243566065699714,24.64613068672622,24.64613068672622,12640018
297,2008-12-19,27.221588134765625,27.547595098863074,25.933861068755945,26.73257768861945,10050607
298,2008-12-22,27.237886428833008,27.466090840611376,26.292464993071178,26.292464993071178,6524631
299,2008-12-23,26.683671951293945,27.498689258721914,26.488069124036798,27.05858123923638,5151765
300,2008-12-24,26.227262496948242,27.042279784284965,22.005471179843305,22.005471179843305,13318746
301,2008-12-26,26.276166915893555,27.661696529313033,25.59155360990615,27.661696529313033,5480531
302,2008-12-29,26.830381393432617,27.04228504501293,25.754557922685375,26.569575368573236,3418418
303,2008-12-30,26.78148078918457,27.221591123385707,25.787158997346918,26.765179997014812,4868199
